word,x_position,y_position
a,375!463!321!348!0!0!0,400!278!413!413!0!0!0
b,363!324!311!332!383!0!0,237!387!288!249!246!0!0
c,336.5!409.0!350.0!0!0!0!0,88.5!149.0!120.5!0!0!0!0
ch,79.5!191.0!238.0!237.0!102.5!0!0,291.0!251.5!370.5!347.5!277.5!0!0
d,330.5!334.5!0!0!385.5!0!0,353.0!388.0!0!0!223.0!0!0
e,423.0!507.0!366.0!392.0!0!0!503.0,288.5!400.5!344.0!316.0!0!0!413.0
f,352.0!363.0!267.0!312.0!370.0!0!0,145.0!307.5!197.0!153.5!271.5!0!0
g,0!0!0!0!368.0!233.5!0,0!0!0!0!133.5!175.0!0
h,451.5!0!0!0!419.0!249.5!0,242.5!0!0!0!216.0!244.5!0
i,0!444.0!365.0!0!0!0!0,0!258.5!185.5!0!0!0!0
k,524.5!440.0!0!0!418.5!347.0!0,321.5!261.0!0!0!199.5!336.0!0
l,0!483.0!0!0!392.0!0!0,0!233.0!0!0!112.5!0!0
m,352.0!303.5!331.0!330.0!374.0!0!0,197.0!177.5!238.5!200.0!193.0!0!0
n,324.5!297.0!0!313.0!348.5!0!0,188.0!148.5!0!220.0!176.5!0!0
o,199.0!234.0!0!0!230.5!0!0,204.5!230.5!0!0!196.5!0!0
p,399.0!399.0!0!0!395.0!300.0!0,346.5!251.0!0!0!216.5!227.0!0
q,0!444.0!0!0!429.0!391.5!0,0!220.0!0!0!196.0!72.5!0
r,397.5!374.0!370.0!379.0!376.5!0!0,146.0!261.0!386.0!347.5!172.0!0!0
s,0!294!0!0!0!0!0,0!283!0!0!0!0!0
t,309.5!0!218.0!263.5!338.0!0!286.5,93.5!0!133.0!97.0!191.0!0!205.0
u,424.0!385.0!0!0!459.5!0!0,134.5!285.5!0!0!155.0!0!0
v,283.0!322.0!0!0!366.0!0!0,131.5!201.5!0!0!143.5!0!0
w,395.5!389.0!395.0!353.0!442.0!0!0,94.0!265.0!317.0!174.0!112.5!0!0
x,479.0!0!428.0!458.0!494.5!0!0,323.0!0!375.5!360.5!163.5!0!0
y,408.0!533.5!335.0!385.0!423.0!0!0,246.0!206.0!130.5!250.5!243.0!0!0
*,0!0!0!0!0!1!0,0!0!0!0!0!1!0
